seller,quantity_sold,seller_sales
"Remarketing By Ge/Manheim Chicago",73,739950
"Enterprise Car Sales",155,739750
"East Coast Financial",122,737250
"Onesource/Toyota Of Hollywood",48,733900
"John Markel Inc",50,732950
"C & B Motors",100,729800
"Infiniti Of Montclair",53,726150
"Flag/Ald Motors Inc",46,725950
"Chaser Inc",99,722750
"David Mcdavid Acura",64,722300
"Fiesta Ford Lincoln Mercury",70,720350
"Austintown Chrysler Dodge Jeep Inc",41,720200
"Mercedes Benz Of Freehold",45,718850
"Automotive Remarketing Inc",415,717275
"Autofinders Inc",64,716950
"Prestige Auto",19,716200
"Rosner Motors Inc",107,715325
"Pat O'brien Chevrolet West",129,715300
"Towbin Motorcars",13,714650
"Hendrick Toyota Scion Concord",148,712600
"Foursight Capital Llc",54,711900
"Onemain Rem/Auto Club Of Miami Inc Dba North Dad",82,711800
"Apple Fcu",83,711000
"Crown Eurocars Inc",40,709700
"Beverly Hills Llc",21,709000
"Toyota Of Glen Burnie",96,708450
"Pra Receivables Management Llc",161,707700
"Basney Honda",48,707500
"Town & Country Motors",44,706900
"Mercedes Benz And Porsche Of Atlantic City",36,706650
"Remarketing By Ge/Drivetime",129,705550
"Asbury Automotive Group",100,704600
"Land Rover Newport Beach",31,703400
"The Motor Car Group Inc",42,701197
"Aps Rent A Car & Leasing",108,700150
"Ron Wilson Ford Tradewinds Inc",35,698800
"Rippy Cadillac Llc",88,698400
"Braeger Chevrolet",75,696600
"Culver City Volvo",44,694950
"Central Florida Educators Fcu",96,692600
"South Bay Bmw",49,691550
"Ed Morse Auto Plaza",81,691450
"R & B Car Sales Inc",52,691100
"Financial Services Remarketing - Stock In",24,688000
"Cox Fleet",71,687900
"Capital Nissan Of Wilmington",56,687000
"Brumos Motor Cars Inc",18,686800
"Team Ford Lincoln",32,686650
"Stg Auto Group",108,686350
"Terry Cullen Southlake Chev Inc",95,684400
"Rancho Ford",88,683750
"Hendrick Lexus Kansas City",61,682700
"Graham Motor Co",28,682650
"Lbs Financial Credit Union",48,679600
"Joyce Koons Honda Buick Gmc",106,675150
"Condor Capital Corp",95,673700
"Honda Of Ocala",39,673340
"David Mcdavid Honda",44,673000
"Essen Motor Company Inc",63,672300
"Sutton Leasing Inc",46,672200
"Burns Kull Inc",156,669650
"Innovate Loan Servicing Corp",130,668650
"Courtesy Nissan Of Tampa",174,667000
"Spreen Honda",43,666900
"J Star Fiat & Maserati Of Anaheim Hills",35,666850
"Remarketing By Ge/Ak&y Enterprises Inc",62,666000
"U-haul Fleet Sales",36,665500
"Fairway Chevrolet",54,664250
"Morrison Motors Inc",25,663750
"Pohanka Honda Of Fredericksburg",96,663175
"Fiserv/Independent Bank",62,662800
"Bobby Rahal Motorcar Company",57,662700
"Car Now Acceptance Co/Columbus",263,662150
"Crossroads Ford Of Wake Forest Inc",113,662100
"Car Web",57,661950
"Mercedes Benz Of Encino",21,660350
"Best Auto Wholesale",42,660350
"Boch Honda West",179,659925
"Darcars Toyota",168,659300
"Lexus Of Las Vegas",48,658350
"Desert Plaza Auto Sales Inc",45,657650
Enterprise-tra,53,657500
"Lauderdale Infiniti",52,657250
"King Hyundai",103,653500
"Remarketing By Ge/Chase Lease Remarketing Co",33,653250
"Akins Ford Dodge Jeep Chrysler Ram",42,651800
"Remarketing By Ge/Tmt Auto Wholesale Inc",36,651300
"First Hyundai",141,649275
"Primeritus Remarketing/Aas",62,647500
"Bmw Of Bayside",34,646950
Gulliver,58,645550
"Remarketing By Ge/Manheim Southern California",63,645400
"Crossroad Motors Llc",56,642600
"Bobby Rahal Bmw Of South Hills",63,641600
"Budget Rent A Car/Omaha",28,641250
"Cherokee Auto",29,640650
"Tyson Motor Corporation",32,640500
"Nil Les Auto Sales Inc",30,640300
"Vantage West Credit Union",67,638950
"Wilde Honda",98,636950
"Salerno Duane Infiniti Llc",37,636550
"Afs Acceptance Llc",106,636400
"Hendrick Chrysler Dodge Jeep Ram Of Concord",104,636250
"Sell Your Car Here",54,635700
"Henderson Chevrolet Company",46,634700
"Chase Automotive Leasing",41,634100
"Allen Cadillac Gmc",44,633650
"Boniface Hiers Chrysler Dodge Jeep",26,633000
"Hendrick Chevrolet",93,631500
"Imperial Chrysler Dodge Jeep Corp",110,630300
"Hendrick Dodge",56,629300
"Fiserv/Dealer Funding Llc",113,628800
"Northeast Auto Marketing Inc",40,628500
"Gunn Honda",46,627500
"Ak International Inc",39,627100
"Daytona Toyota",74,626400
"Justus Motors Company Inc",35,626000
"Perillo Bmw Inc",31,625250
"David Mcdavid Ford Ft.worth",34,624450
"Jepson Car Co Llc",59,623600
"Fca Us/Hertz/Pv Holding",30,621750
"New Century Bmw",26,621150
"Jim Norton Toyota Of Lawton",32,620800
"Laredo Dodge Chrysler Jeep",69,619550
"Hendrick Lexus Northlake",82,619500
"Courtesy Toyota Of Brandon",166,617900
"Enterprise Vehicle Exchange / Rental / Tulsa",115,617650
"University Ford Inc",42,616900
"Car Trackers",67,614850
"Rally Auto Sales Inc",29,613450
"Lexus Of Omaha",64,612850
"Bank Of Hawaii",52,610900
"Daimler Daiichi Corp",38,610850
"Mentor Mitsubishi",52,610800
"Bmw North America Uaa",14,609750
"First Merit Bank",74,609550
"International Auto Group Inc",45,608000
"M & N Financial",131,605400
"Hendrick Kia Of Cary",107,605000
"Rick Hendrick City Chevrolet",83,604450
"Ars/Budget Rac Of Memphis",18,603500
"Braman Cadillac",30,603200
"Hendrick Chevrolet Shawnee Mission",43,602400
"Mercedes Benz Of Escondido",36,602000
"Tfp International Inc",64,601250
"Courtesy Kia Mitsubishi",45,600600
"Dollar Rac/Portland",38,599900
"Zimbrick Eastside",53,598750
"Alternative Enterprises Inc",36,598600
"National Fleet Leasing",104,598300
"Pat O'brien Chevrolet",119,597625
"Premier Cape Cod",79,597400
"Nissan Technical Center",27,597100
"Lexus Of Henderson",39,595050
"Mercedes Benz Of Ft Lauderdale",62,593700
"Cenizo Financial Corporation Inc",50,592250
"Ford Country",36,592100
"Lexus Of Thousand Oaks",20,591900
"First Ford Inc.",99,591675
"Honda Of Concord",149,591400
"Advanced Auto Brokers Llc",53,590300
"Universal Nissan",46,590300
"Steve Landers Toyota",33,588750
"Flow Gm Auto Center",34,587700
"Remarketing By Ge/Manheim Orlando",47,587500
"Melvin G Rhoades Auto Sales Llc",45,587100
"Kar Motors Inc",71,586800
"Rick Case Honda",26,586400
"Lease Remarketing Services Inc",51,586350
"Everett Chevrolet Inc",45,586300
"Lenders Fleet Services",55,585250
"Parkway Automotive Group",59,584850
"Autonation Toyota Winter Park",200,584300
"Flag/Capital Eurocars Inc",18,583400
"Palm Chevrolet Of Gainesville Llc",38,583100
"Remarketing By Ge/Michigan First Credit Union",85,581850
"Remarketing By Ge/Manheim California",55,581200
"Frank Kent Cadillac Ltd",32,580150
"Overland West Inc",25,580100
"Black Tie Classics Llc",107,579250
"Spangler Automotive",41,577900
"Gossler Motors",28,576825
"Fort Worth Audi",28,576750
"Remarketing By Ge/Billion Dodge",41,576750
"Fred Anderson Toyota/Scion",78,576150
"Dublin Cadillac Nissan & Gmc",29,574200
"Lease Plan Advantage",47,573300
"Fleet Lease Disposal",107,573150
"Crown Audi",30,572600
"Fleet Street Remarketing Llc",80,572150
"Coggin Toyota At The Avenues",164,571750
"Motor City Lexus Of Bakersfield",53,570400
"Autonation Toyota Fort Myers",183,569250
"Whites Auto Sales Llc",58,569000
"Harry Kaufmann Motor Cars Inc",50,568925
"Penegon Mission Viejo Inc",29,568100
"First Technology Credit Union",35,567700
"Remarketing By Ge/Penske Truck Lsg Fleet Sales",37,566200
"Remarketing By Ge/Archibalds Inc",60,565000
"Web Auto Special Inc",43,564150
"Hendrick Toyota Scion Wilmington",71,563700
"San Antonio Dodge Chrysler Jeep",74,562100
"Inland Northwest Financial Services",23,559950
"Onemain Rem/Delta Dealer",76,559300
"Montclair Auto Sls Grp Llc",53,558650
"North Atlanta Auto Superstore",36,557500
"J M Wholesale",27,556700
"Auto Select Inc",36,555900
"Truwest Credit Union",40,555350
Carbiz,115,554400
"Bob Baker Volkswagen Subaru",90,554250
"Dutton Motor Co",55,551700
"Stingray Chevrolet",29,550700
"Award Auto Sales And Leasing Inc",38,550000
"Scott Robinson Chrysler Jeep Dodge Ram",56,549050
"Southgate Leasing Corp",51,549050
"Newbold Toyota",27,548000
"Citiwide Auto Leasing",65,547350
"Park Fcu",59,546500
"Hendrick Honda Of Charleston",115,546300
"Hayes Chrysler Dodge Jeep Inc",67,546100
"Bev Smith Toyota",28,545500
"Remarketing By Ge/Manheim Central Florida",64,544840
"Dave's Auto",30,544200
"Infiniti Of Tampa",63,544010
"Bobby Rahal Volvo Jaguar Land Rover",58,544000
"Auto Gallery",20,543600
"Enterprise Fm Exchange/Tra/Lease",100,543450
"San Antonio Credit Union",50,543050
"Clay Chevrolet Hyundai",114,541625
"Purple Heart Services Inc",616,541525
"Time Finance Co",158,541500
"National Fleet Wholesale Inc",63,540550
"Financial Services Remarketing (Land Rovers)",25,540300
"Crossroads Ford Of Indian Trail",91,540300
"Paramus Ford Inc",53,540250
"Remarketing By Ge/Golden 1 Credit Union",40,538250
"Ars/Executive Car Leasing Co",42,538000
"Ally Smartlane Dealers",28,537000
"J & E Auto Sales",32,536450
"Arizona Auto Sales Inc",56,536350
"Tmt Auto Wholesale Inc",56,536100
"Jack Pfister Autos",26,534450
"Ron Lewis Chrysler Dodge Jeep Ram",30,534400
"Crestwood Motors Inc",42,534050
"J Magnone Auto Group Llc",55,533950
"Haselwood Chevrolet Cadillac Buick Pontiac Gmc",47,533850
"Firkins Nissan",36,532300
"Amigo Auto Sales",37,531990
"Auto Depot Of Orlando Inc",41,531800
"Garys Auto Sales Inc",64,531350
"Jim Coleman Honda",99,531000
"Mint Motors",29,530925
"Ec Sales Company",22,530100
"Subaru Of Pembroke Pines",33,529700
"Kendall Hyundai",38,529000
"Mayfair Rent A Car",22,528650
"King Cadillac Buick Gmc Inc",25,528500
"Remarketing By Ge/Hardy Automotive Llc",61,528350
"Courtesy Hyundai",152,528200
"Car Rentals Inc",37,527800
"Doering Leasing Company Inc",38,527750
"Autonation Toyota Scion Weston",173,527400
"A & H Import",32,526900
"Larson Motors Inc.",16,524950
"Lexus Of Greenville",52,524900
"Dyer Chevrolet",49,524400
"Motor City Buick Gmc",29,524100
"Napleton's Mid River",71,523300
"Cadillac Of Norwood",51,522550
"G & A Investments Inc/Avis Systems",36,520500
"Bergeys Chrysler Jeep Dodge",63,520250
"Bmw Gallery",46,519400
"Bmw Of Freehold",39,518100
"United Acceptance",159,517775
"Jim Coleman Cadillac Infiniti",69,517550
"Greenway Ford Inc",60,516950
"Car Market Inc",32,516750
"Bidlane Llc",19,516600
"Jim Butler Chevrolet Inc",44,516100
"Bmw Of Cape Cod",45,516000
"Hatt Auto Sales Llc",37,515100
"Ingersoll Auto Of Danbury",41,515100
"Nalley Lexus Roswell",94,514100
"Primeritus Remarketing/Cook Leasing Inc",40,513800
"Freedom Automotive And Marine Brokers",30,513700
"Fountain Auto Mall",25,512700
"Auto Liquidations Inc",55,512400
"Pohanka Lexus",49,512100
"Brandon Mitsubishi",67,512000
"Midwest Motors Inc",10,511650
"Crescent Automotive Corp Inc",37,510700
"Lexus Of Tampa Bay",73,510200
"Manheim Orlando",34,509800
"South Coast Toyota",35,509600
"Fleet Link Services Inc",33,509050
"Hendrick Acura",70,508650
"Wayne Auto Sales Inc",52,508600
"Gwinnett Place Ford",23,507900
"Landers Mclarty Dge Chry Jeep",24,507200
"Bard Whls",28,507100
"Unique Automotive Ltd",38,506820
"Rental Car Finance Corp/(Pen)",45,506503
"Diers Inc",29,506000
"Imperial Chevrolet",104,505725
"Purple Heart",571,505550
"Sports Trend Auto Sales",15,504700
"Karl Flammer Ford Inc",32,504100
"Mercedes Benz Of Delray",62,502300
"Mercedes Benz Of Northlake",43,501850
"Dealer Network Group Auto Wholesale",30,501700
"Remarketing By Ge/Manheim Kansas City",49,501050
"Napleton's Clermont Chrysler Jeep Dodge",38,500300
"Manheim Nashville",60,500150
"Us Auto Sales Inc",124,499950
"Don Beyer Volvo Subaru Kia Of Alexandria",61,499850
"Rjk Auto Brokers Llc",24,499450
"Zappone Chrysler Jeep Dodge Ram",40,499350
"All American Ford Inc",55,499300
"Tacoma Dodge Chrysler Jeep",31,497100
"C & K Auto Imports South Inc",14,496450
"Pye Auto Sales",34,494700
"Riverside Auto Sales Inc",30,493750
"Nice Car",27,493000
"Porsche Cars North America",9,492750
"Rick Hendrick Buick Gmc",78,492450
"Delta Auto Group London",37,492200
"Moab Industries",12,492150
"Auto Depot",38,491500
"Dodge Of Paramus Inc",28,491450
"Hrft Finance Inc",29,491100
"Ourisman Of Clarksville Inc",151,490250
"Remarketing By Ge/Manheim Phoenix",56,488700
"Sonju Two Harbors Llc",31,487850
"Auto City Sales/Leasing",26,487400
"United Leasing Inc",116,487250
"Paul Motor Company",26,487150
"City Style Imports Inc",25,486800
"Toyota Of Hollywood",36,485300
"Hendrick Durham Auto Mall",36,484900
"Carsense Incorporated",46,484650
"Bob Baker Toyota Of Lemon Grove",85,483475
"Neuwirth Motors Inc",59,482950
"Gettel Acura",29,481700
"Acura Of Pleasanton",64,481650
"Newport Coast Auto Com",34,481600
"Congers Auto Sales Inc",34,481200
"M/R Motors Inc",41,481050
"Nalley Acura",77,479300
"Ourismans Rockmont Chevrolet",53,478600
"Intercontinental Fleet Corp",34,478000
"Manheim Atlanta",32,477700
"Jaguar San Diego",18,477550
"Balboa Thrift & Loan Association",54,476800
"Bill Pearce Motors",20,476550
"First Light Fcu",39,474950
"Riverside Toyota Scion",89,474400
"Hendrick Toyota Scion North Charleston",97,473550
"Gateway Kia Of North Brunswick",36,473550
"Honda North",70,473500
"Primeritus Remarketing/Marine Fcu",53,473000
"Weber Granite City Chevrolet Company",38,472650
"Darcars Chrysler Jeep Of Rockville",78,472325
"Coggin Honda Of Orlando",168,472200
"Butler Motors Inc",28,471750
"Lexus Of Knoxville",22,471600
"Southside Bank",37,471350
"Coggin Bmw Treasure Coast",54,471200
"Mid Atlantic Finance/Clearwater",188,470950
"Checker Leasing Dba Avis Rac",39,470900
"Ed Voyles Chrysler Jeep Inc",33,470200
"David Wilsons Toyota Of Las Vegas",25,469450
"Hyundai Motor America/Co Car Open Sale",19,469400
"Lexus Of Silver Spring",88,468650
"Chapman Performance Autos Llc",9,468500
"Hyundai St Constant",20,468400
"Jn Group Inc",9,467250
"Mcdonald Auto Sales & Leasing",34,467150
"The Bmw Store",44,467000
"Remarketing By Ge/Bwas",30,466800
"Bmw Seattle",57,465800
"Far South Auto Inc",25,465200
"Rick Hendrick Chevrolet Buick Gmc",64,464800
"Discount Auto Sales Llc",24,464600
"Shamaley Ford",45,464300
"Bay Ridge Honda Suzuki Kia",23,462300
"Ferrari & Maserati Of San Diego",15,461300
"Jackson Ford Inc",27,460900
"Sst Financial",92,459700
"Fdic Leasing",31,459650
"Auto Mall 59",33,459550
"By The Book Auto Brokers Inc.",68,458400
"Five Star Bank",48,458300
"Elco Chevrolet Inc",49,457300
"Performance Chev Subaru Porsche",70,456500
"Toyota Of Greenville",98,455600
"Palm Springs Ford-lincoln-mercury",49,455500
"Directions Credit Union",26,455050
"Audi Cape Cod",31,454000
"Grand Strand Nissan Inc",48,453900
"J & J Auto & Truck Sales",19,453150
"Toyota Of Renton",36,452800
"Fleet Depot",44,452750
"Mercedes-benz Of Pompano",43,451400
"Select Remarketing Group Llc/Loan Max Title",342,451150
"Dubois & Freres Ltd",15,451150
"Napletons South Orlando Chrysler Jeep Dodge",32,450900
"Remarketing By Ge/Manheim Nevada",36,450400
"Hi Tech Auto Group Inc",25,449975
"Charleston Automotive Company",54,449700
"Greenway Chrysler Jeep Dodge Inc",72,448800
"Nalley Infiniti Decatur",63,447850
"E.t. Sales",57,447650
"Ars/Budget Of Omaha",12,447500
"Marple Fleet Leasing",39,446500
Advance,47,446450
Rii,78,446400
"Premier Remarketing Llc",19,446350
"Audi Of Downtown L A",24,445850
"Car Cash",51,444850
"Galpin Ford Studio Rentals",29,443100
"Audi North Atlanta",44,443000
"Liquidation Llc",92,442900
"Larry H Miller Toyota Peoria",37,442700
"Darcars Of Fairfax",107,442525
"Flag/Landrover Southpointe",9,442500
"Bavarian Motor Cars Usa Inc",11,442400
"Sanford Honda",16,442250
"Volkswagen Of Murrieta",70,442150
"Hendrick Lexus Charleston",58,441800
Hincklease,28,441500
"Napleton's Hyundai",53,441450
"California Auto Finance",131,440700
Drivetime,56,440700
"Don Jackson Chrysler Dodge Jeep",54,440000
"Coggin Honda Of Ft Pierce",114,440000
"American Fleet Leasing",28,440000
"Ken Camp's Auto World Inc",38,439800
"Ars/Acme Auto Leasing",24,439300
"Advia Credit Union",62,439275
"Auction Direct",25,438600
"Ge Capital Fleet Services",50,438550
"G & S Auto Sales & Rentals Llc",17,438350
"Clay Subaru",119,438225
"Lafontaine Cadillac Buick Gmc Inc",62,437950
"Bev Smith Kia",27,436700
"Sheehy Ford Lincoln Of Gaithersburg",59,436625
"Kia Of Dartmouth",25,435600
"Feldmann Imports Inc",35,435300
"Nationwide Financial Inc",57,434400
"Irvine Bmw",17,434350
"Atlantic Coast Remarketing Inc/Asf",64,433950
"Jaguar Land Rover Cerritos",21,432700
"Courtesy Palm Harbor Honda",93,432610
"Safford Chrysler Jeep Dodge Of Springfield",49,432600
"Main Auto Llc",19,432450
"Autonation Chevrolet Pembroke Pines",109,431550
"Landmark Credit Union",44,431475
"Onesource/Zimmerman Auto Brokers",24,431250
"Eastern Auto Trading Inc",29,430750
"West Coast Motor Sales & Leasing Corp",20,430740
"South County Lexus At Mission Viejo",68,430600
"Nalley Toyota Stonecrest",91,430500
"Hendrick Honda Bradenton",46,430400
"Freehold Buick Gmc Inc",26,430200
"Michael Hohl Motor Company",19,430150
"Mercedes-benz Of Durham",48,430000
"Kly International Llc",33,429950
"Queenston Chev Olds",21,429900
"Erhard Bmw",43,429650
"Sam Galloway Ford Lincoln",39,429300
"Butler Honda",20,428900
"Carphoria Llc",21,428050
"Mckenna Volks",51,427350
"Northwest Specialty Motor Co",20,427000
"Us Bank Repos",28,426400
"American Auto Sales Inc",18,426050
"Frankfort Toyota",23,425650
"Kia Motors America Inc -lemon Law Buybacks",27,425550
"Mercedes-benz Of South Charlotte",22,425050
"Centennial Toyota & Scion",25,424950
"Weston Auto Gallery",21,424750
"Courtesy Kia Of Brandon",138,423400
"Planet Nissan",31,422950
"International Motor Sports Inc",23,422500
"Crossroads Nissan Of Wake Forest",92,422300
"B & J Car Company",39,422250
"Hemborg Ford",51,421100
"Erhard Bmw Of Farmington Hills",58,420750
"Findlay Toyota Flagstaff",24,420450
"Wayne Akers Ford Inc",63,420400
"Maple Ridge Chrysler Jeep Dodge",21,420200
"Credit Union Of Texas",33,419150
"Woodbridge Auto Sales",30,418500
"Classic Chevrolet Cadillac",24,418200
"Crown Buick Gmc",26,417300
"Billotti Auto Sales",38,417200
"Stadium Toyota Inc",20,416800
"Kearny Pearson Kia",67,416600
"Germain Honda Of Naples",33,416500
"Jim Coleman Toyota Inc",103,416325
"Henderson Hyundai Superstore",27,416200
"Mike Watchers Used Cars",30,415300
"Remarketing By Ge/Manheim Baltimore Washington",63,414650
"Enterprise Vehicle Exchange/Honolulu",29,414400
"Redline Remarketing",72,413900
"H N S Auto Sales Inc",32,413550
"Repo Remarketing Inc",52,413550
"Wright-patt Credit Union",46,412150
"Folger Automotive Llc",43,412150
"Precision Kia Of Wesley Chapel",31,412100
"Herrin Gear Chevrolet Co Inc",24,411150
"Lexus Of Palm Beach",90,411100
"Port Charlotte Honda",22,410900
"Audi Northlake",45,410700
"Select Motor Car Of Gainesville Inc",18,410650
"Hayes Chrysler Dodge Jeep Of Gainesville Inc",48,410500
"Tc's Used Cars Llc",50,410300
"Clay Nissan",96,409275
"Marine Chevrolet Cadillac",44,409250
"Town & Country Motors Ii",28,408700
"Manheim Statesville",57,408150
"Enterprise Fm Exchange/Lease",21,407900
"Autonation Toyota Pinellas Park",135,407800
"Triangle Rent A Car",25,407600
"The Bancorp Bank",25,407200
"Enterprise Fleet Management",35,407125
"Corona Auto Wholesale Inc",46,405350
"United Auto Credit/Irvine",142,404550
"Honda Cars Of Rock Hill",86,403850
"Amber Auto",62,403200
"Bartow Ford Co",17,403000
