brand_model,transmission,quantity_sold
"Chevrolet HHR",manual,14
"Audi A3",manual,14
"Ford Transit Wagon",automatic,14
"Audi RS 5",automatic,13
"Mazda Mazdaspeed Mazda6",manual,13
"Chevrolet C/K 1500 Series",automatic,13
"Volkswagen Jetta Hybrid",automatic,13
"Acura RLX",automatic,13
"Volvo S60",manual,13
"Mercedes-Benz SLK-Class",manual,13
"Maserati Ghibli",automatic,13
"Saturn VUE Hybrid",automatic,12
"Ford F-250 Super Duty",manual,12
"Volkswagen Eos",manual,12
"Mazda Protege5",manual,12
"Hyundai Elantra Coupe",manual,12
"Suzuki Aerio",automatic,12
"Oldsmobile Eighty-Eight",automatic,12
"Hyundai Santa Fe",manual,12
"Pontiac G3",automatic,12
"Ferrari California",automatic,11
"Porsche Cayman S",manual,11
"Ford Mustang SVT Cobra",manual,11
"Lexus SC 400",automatic,11
"Infiniti G37 Coupe",automatic,11
"Toyota RAV4",manual,11
"Chevrolet SS",automatic,11
"BMW 2 Series",manual,11
"Oldsmobile Cutlass",automatic,11
"Geo Prizm",automatic,11
"Chrysler Voyager",automatic,11
"BMW ActiveHybrid 7",automatic,11
"Volkswagen Jetta GLI",manual,11
"MINI Cooper Coupe",manual,10
"Lexus IS 300",manual,10
"Cadillac CTS Wagon",automatic,10
"Saturn Astra",manual,10
"MINI Cooper Paceman",manual,10
"HUMMER H3",manual,10
"Volkswagen R32",automatic,10
"Oldsmobile Cutlass Supreme",automatic,10
"Kia Sephia",automatic,10
"Toyota ECHO",manual,10
"Dodge Viper",manual,10
"Audi R8",manual,10
"Subaru BRZ",automatic,10
"Maserati GranTurismo Convertible",automatic,10
"BMW M5",manual,10
"Lincoln MKZ Hybrid",automatic,10
"GMC Sierra 3500",automatic,10
"BMW 6 Series",manual,9
"GMC Savana",automatic,9
"Aston Martin V8 Vantage",automatic,9
"Mazda RX-8",automatic,9
"Dodge Nitro",manual,9
"Fisker Karma",automatic,9
"Acura ILX",manual,9
"Plymouth Prowler",automatic,9
"BMW 4 Series Gran Coupe",automatic,9
"Audi RS 7",automatic,8
"Nissan Truck",manual,8
"FIAT 500L",manual,8
"Volkswagen Tiguan",manual,8
"Ford F-350 Super Duty",manual,8
"BMW X3",manual,8
"Pontiac Aztek",automatic,8
"Lexus SC 300",automatic,8
"Suzuki Grand Vitara",manual,8
"Toyota 4Runner",manual,8
"Honda Accord Hybrid",automatic,8
"MINI Cooper Roadster",manual,8
"Mercury Milan",manual,8
"Mercedes-Benz 300-Class",automatic,8
"Volkswagen Jetta SportWagen",manual,8
"BMW 4 Series",manual,8
"Mercury Villager",automatic,8
"Pontiac Firebird",manual,8
"Hyundai Elantra Touring",manual,8
"Toyota MR2 Spyder",manual,8
"Volvo S90",automatic,7
"Toyota Tundra",manual,7
"Infiniti M56",automatic,7
"BMW X5",manual,7
"Pontiac Sunfire",manual,7
"Acura Integra",manual,7
"Land Rover Discovery",automatic,7
"Mercedes-Benz 500-Class",automatic,7
"BMW M6 Gran Coupe",automatic,7
"Acura Legend",automatic,7
"Hyundai XG300",automatic,7
"Nissan Pathfinder",manual,7
